StartTime,RequestType,Latency,ResponseCode
1.645138492297E12,POST,308.0,201
1.645138492285E12,POST,321.0,201
1.645138492238E12,POST,368.0,201
1.645138492239E12,POST,366.0,201
1.645138492282E12,POST,323.0,201
1.645138492236E12,POST,369.0,201
1.645138492281E12,POST,324.0,201
1.645138492251E12,POST,354.0,201
1.645138492283E12,POST,322.0,201
1.645138492265E12,POST,340.0,201
1.645138492244E12,POST,361.0,201
1.645138492286E12,POST,319.0,201
1.645138492228E12,POST,377.0,201
1.645138492273E12,POST,332.0,201
1.645138492232E12,POST,373.0,201
1.645138492243E12,POST,385.0,201
1.645138492227E12,POST,401.0,201
1.64513849227E12,POST,358.0,201
1.645138492231E12,POST,397.0,201
1.645138492278E12,POST,350.0,201
1.645138492265E12,POST,376.0,201
1.645138492234E12,POST,407.0,201
1.645138492262E12,POST,383.0,201
1.645138492296E12,POST,349.0,201
1.645138492274E12,POST,371.0,201
1.645138492261E12,POST,384.0,201
1.64513849224E12,POST,498.0,201
1.645138492267E12,POST,471.0,201
1.645138492228E12,POST,510.0,201
1.645138492293E12,POST,449.0,201
1.645138492256E12,POST,486.0,201
1.645138492268E12,POST,474.0,201
1.64513849228E12,POST,462.0,201
1.645138492288E12,POST,454.0,201
1.645138492289E12,POST,453.0,201
1.645138492274E12,POST,468.0,201
1.645138492298E12,POST,454.0,201
1.645138492292E12,POST,462.0,201
1.645138492264E12,POST,490.0,201
1.645138492261E12,POST,494.0,201
1.645138492235E12,POST,520.0,201
1.645138492266E12,POST,489.0,201
1.645138492226E12,POST,529.0,201
1.645138492252E12,POST,509.0,201
1.645138492284E12,POST,477.0,201
1.645138492294E12,POST,467.0,201
1.64513849228E12,POST,564.0,201
1.645138492263E12,POST,581.0,201
1.645138492292E12,POST,560.0,201
1.645138492241E12,POST,612.0,201
1.645138492249E12,POST,606.0,201
1.645138492269E12,POST,588.0,201
1.645138492258E12,POST,599.0,201
1.645138492297E12,POST,560.0,201
1.645138492232E12,POST,629.0,201
1.645138492291E12,POST,570.0,201
1.645138492286E12,POST,618.0,201
1.645138492256E12,POST,648.0,201
1.645138492237E12,POST,673.0,201
1.645138492254E12,POST,656.0,201
