StartTime,RequestType,Latency,ResponseCode
1.6451368074E12,POST,125.0,201
1.645136807403E12,POST,123.0,201
1.645136807399E12,POST,126.0,201
1.645136807404E12,POST,121.0,201
1.645136807401E12,POST,124.0,201
1.645136807404E12,POST,125.0,201
1.645136807389E12,POST,141.0,201
1.645136807398E12,POST,133.0,201
1.645136807527E12,POST,30.0,201
1.645136807527E12,POST,65.0,201
1.645136807527E12,POST,66.0,201
1.645136807527E12,POST,66.0,201
1.64513680753E12,POST,63.0,201
1.645136807527E12,POST,71.0,201
1.645136807529E12,POST,70.0,201
1.645136807531E12,POST,71.0,201
1.645136807557E12,POST,46.0,201
1.645136807592E12,POST,33.0,201
1.645136807593E12,POST,32.0,201
1.645136807593E12,POST,32.0,201
1.645136807593E12,POST,32.0,201
1.645136807598E12,POST,56.0,201
1.645136807602E12,POST,52.0,201
1.645136807602E12,POST,59.0,201
1.645136807603E12,POST,58.0,201
1.645136807625E12,POST,44.0,201
1.645136807625E12,POST,60.0,201
1.645136807625E12,POST,60.0,201
1.645136807654E12,POST,33.0,201
1.645136807669E12,POST,36.0,201
1.645136807661E12,POST,62.0,201
1.645136807687E12,POST,36.0,201
1.645136807625E12,POST,110.0,201
1.645136807705E12,POST,30.0,201
1.645136807723E12,POST,33.0,201
1.645136807661E12,POST,96.0,201
1.645136807723E12,POST,34.0,201
1.645136807654E12,POST,104.0,201
1.645136807735E12,POST,23.0,201
1.645136807685E12,POST,85.0,201
1.645136807685E12,POST,86.0,201
1.645136807735E12,POST,38.0,201
1.645136807756E12,POST,32.0,201
1.645136807758E12,POST,30.0,201
1.645136807757E12,POST,31.0,201
1.645136807757E12,POST,31.0,201
1.645136807758E12,POST,30.0,201
1.64513680777E12,POST,29.0,201
1.645136807771E12,POST,28.0,201
1.645136807773E12,POST,29.0,201
1.645136807788E12,POST,14.0,201
1.645136807788E12,POST,14.0,201
1.645136807788E12,POST,29.0,201
1.645136807788E12,POST,29.0,201
1.645136807788E12,POST,29.0,201
